	15948X1	15948X10	15948X2	15948X3	15948X4	15948X5	15948X6	15948X7	15948X8	15948X9
Zmym6	6.252657978194225	9.90657613058887	8.664963961315772	9.739761828050517	7.438723895715542	7.556076404876793	9.764907864149277	7.933206297549309	8.640610112286055	8.664382559851843
Agps	6.565516198693523	8.077729519116655	8.350596646540637	9.083422240979234	6.1570515098473875	7.2294186369482745	7.210170534150523	9.725350449211632	9.002605802092384	7.981279247163614
Fbrs	3.4392905613024687	3.509675777223014	2.64457468492345	3.1570700551344464	3.518731204079496	2.698889094487773	4.105105385731273	3.0668184782161347	3.9954918274061058	3.5122508970456487
Dhx29	8.32672324474321	9.01026755650293	8.837265106170653	10.063300618716577	6.878567688142535	6.501476794405158	9.225369939102363	9.986825697940114	9.01737082272106	9.243455065517193
Mgat3	0.9285630161221322	1.4386753819391358	0.41985654447602117	1.0779938216125804	0.6189465216490869	0.17635592451785842	0.728499107024007	1.9660055947512163	1.5123102333004348	1.1485982463487356
Adora1	3.152361019755018	1.8816526168413323	1.9712467592397733	3.2547621892881877	2.011834952266576	2.8151985897521663	2.7362708005370315	2.155559804834075	2.307620121238548	3.733424483846748
Mfap4	2.4473143899490095	16.792093652875558	2.4897848898058967	3.4530938987222273	4.140970111919542	1.0845391177270558	4.273609168296383	35.19288696296479	58.417388325997905	29.923080846126272
Zfp532	4.669329023894731	4.395097222824381	4.452760792293492	5.132412100663033	4.403723162063296	3.638458284682322	5.049918899381099	6.622794188798025	6.474641593779191	6.605289471421169
Mindy2	13.236086708017178	14.474752419662002	12.330818083345504	17.328781723242674	13.577607956036832	10.553966944246866	14.529254867051545	19.772811929457365	16.451093323548125	15.5819767666868
Zmym4	8.914410126506638	9.315042549693825	8.54935992388057	11.623537328026355	10.007618303812109	6.834599110767778	8.814027847069218	11.032757193758266	10.7408336756719	9.256705864708618
Mios	11.586052138856672	8.851219002447165	7.787009165691219	12.157638012318584	12.09313447533867	9.535341422819357	10.224007683300405	8.702292514535445	9.686262970438714	13.776034451231386
Reln	0.598122626354683	1.2702797574831068	1.1300758838250544	1.6069860096009692	0.7214334551456314	1.289241853525074	1.1713326525933403	3.702231826198912	4.8619840036899635	2.237182579840947
C1galt1	7.055852500846726	5.744462385593085	6.510550442319097	7.594441699929206	6.161525247112422	5.356825681616401	6.118401889579023	6.283007776567976	5.645563080587546	7.036389782293963
Dctpp1	4.436244678184765	2.4820342665481023	4.7082470672611505	5.7223955141359655	2.6284802216595264	6.490732843201652	7.297679664154165	10.587108573335563	8.64254677404692	4.5728927109838855
Zfp410	9.520321912548892	13.521177147290615	11.658516547503803	11.39247198357126	10.251072864472155	7.634338153670516	11.203675827253823	10.059060195109936	9.004400035206478	7.69988029811382
Tbc1d8b	3.205212422461985	2.729137907981883	2.4031100068470734	3.341321793727133	2.4852915170049297	2.7455647023731373	2.883797996325703	4.079598474698392	3.8951674239987457	3.802903997209267
Abcb4	9.312597310877686	9.754630240428742	5.7020692601789875	8.971436728874464	6.316343008753784	8.134898008741763	8.788464956664797	14.816357224365664	10.890903396411693	13.590800067600783
Mustn1	4.3134144587600165	5.623878844360726	4.159713428356939	5.5709094451857	4.67214486002102	4.6593064038274	5.499107337001607	4.675179840091439	5.4403135307840085	6.335947570644771
Leo1	4.594508605202519	5.928075338557248	5.358477730303783	6.095872936398024	5.055610459169166	2.5808796001065013	4.942708977463838	5.639042990603945	4.873520266148223	3.833930330096069
Clspn	0.26513727228105133	0.19072496111699874	0.097405549034247	0.13851225107620138	0.1325481870281858	0.10910422224995815	0.1962694033406889	1.4447808488882303	0.2631388218002733	0.6559300784033116
Tbc1d10b	3.2270045221008288	2.719268785344581	2.6420379226357538	3.6392788737382693	2.9499490257473826	2.9593539132223365	3.549087376236127	5.9849745667968905	5.0632865313949385	4.276806132574857
Prdm10	1.6237406687823348	2.760794506930815	1.6630429688258526	2.319175698800503	2.3614402936468637	2.3082261325517397	2.314931081493912	1.6517936803682824	2.1812247349805145	1.673756162575122
Ago4	3.364225733209109	2.383369078697603	3.4831088905116916	3.7754329455417968	3.53359097260883	3.188273391390624	3.5720711147901008	3.3736897371193417	2.5294455736384696	3.688534295009306
Cd2bp2	5.1747182137331835	5.91205273617139	4.845881573490466	6.7377896414189475	6.289863526769608	4.676331883987549	6.976893853500861	10.476876938079288	8.760924221644926	7.46775844990637
Sdhaf3	1.6186529275326016	1.9960604709267578	1.1893143181700616	2.0223101944659643	1.1816912585693478	1.2052823941429855	1.5976229549284064	2.3054882229728495	1.7084494454415964	2.526603439727514
Usp22	6.011930842385409	5.676100014162778	7.178112353334547	6.473405076063345	5.109352961317876	4.885981855524654	6.35413463345277	8.369367642129651	10.342135103575199	8.830887683036691
Elmsan1	4.470134380403058	3.5170245196754837	3.6265871764593998	3.675895430321438	3.445197070857397	3.25738461754443	3.140526823981381	3.637487039342532	4.836953153037683	3.167880584952132
Dmtf1	10.41079299513454	14.693497016803308	14.911466290143284	14.47280617642038	12.868741856428196	12.85215160019556	12.638472247843339	11.657411523270598	13.66743925018314	14.793131587409052
Pwwp3b	0.2897489277732272	1.5111117938325778	0.3725656374963172	1.093226343004932	0.8208286605247632	0.3576958208155694	1.0486095842058045	3.9414731164035355	3.546634617103554	2.419259065532693
Ubap2l	42.868328965417795	43.60740334124405	46.64551575205547	34.64694822696776	37.51763470817536	43.83156989173844	43.17267234395077	28.543979180866994	38.9185849218263	33.84995975425479
Dnal1	1.2800153435765056	1.0463313902732152	2.009246696767287	1.9182964560605538	1.5512944210248298	1.1492235206925923	1.7419399810647715	1.6569757106466398	1.53983919118791	1.7272710865025915
Sun2	6.72010033029454	5.268587968213789	6.602001552733289	9.151475866141793	4.93234641186552	5.15780135914285	9.266033849269302	14.932327125579349	13.788521964817313	10.227197348816352
Kcnj12	2.435161512345027	3.3088031774457156	4.27431605456595	5.654089209582333	2.8856721556505724	3.117554589325033	4.40645927589528	6.866201835125408	5.325925835891423	6.944806177503962
Gtpbp1	3.4779952478433187	3.7528136050230683	4.685040282644324	5.4957561325091255	3.0266770659091944	2.8623962465960324	4.449936557556459	5.994620672173766	7.127286777649662	4.421656228361031
Sem1	65.30940832008541	108.66109634731731	86.7238184246983	79.98006550164492	88.34906131713595	77.51665876874294	88.3840183277466	67.88143810584728	53.74482764212598	102.3097689754739
Asxl1	6.157320360286241	4.9099246624239665	4.489054931913798	4.976033164396519	5.376881794214135	4.517525884816793	5.590508832725922	5.642368809426757	6.079329131668577	5.7270442791316505
Map2k3os	3.355341959883615	4.827291608813705	2.84464191515391	3.236101097568076	3.4408455264171964	2.124194133425793	2.2078323053132562	5.748997075941577	6.5747167572700755	2.8733776662665598
Sin3a	11.456937530180333	13.858580879758017	10.72243127726627	12.542752309708762	12.116455697154306	8.90231563266819	11.83453313086668	9.500966227104517	13.001000421223013	12.74671151473024
Adprhl2	1.6423337362830783	1.0501362316923908	1.3407932502605686	1.948999024179321	0.7298135117094086	0.7509130959070917	2.1613281283540924	3.1645795631725187	3.5013843426897813	1.2414760934237377
Dhrs7b	1.22018163053724	0.9508748042384029	0.8218240227260843	0.9679701804686751	1.491103061356442	0.41842151758509283	1.9403073561330246	2.814900843883909	2.52288460709104	1.5093197303021577
